WKT,name,description
"LINESTRING (11.831449 58.061399 0.0, 11.83145 58.061457 0.0, 11.831322 58.06173 0.0, 11.831252 58.06186 0.0, 11.831265 58.061942 0.0, 11.831365 58.062036 0.0, 11.831767 58.062232 0.0, 11.832199 58.062506 0.0, 11.832389 58.062638 0.0, 11.832435 58.0627 0.0, 11.832236 58.062904 0.0)",200 m,
"LINESTRING (11.822096 58.060542 0.0, 11.82159 58.061208 0.0, 11.821501 58.061314 0.0, 11.821364 58.061557 0.0, 11.821324 58.061767 0.0, 11.821241 58.06207 0.0, 11.821139 58.062216 0.0, 11.820965 58.062428 0.0, 11.820723 58.062442 0.0, 11.820503 58.062387 0.0, 11.819742 58.062489 0.0)",310 m,
"LINESTRING (11.827606 58.058094 0.0, 11.827762 58.058382 0.0, 11.829543 58.058351 0.0, 11.83053 58.058715 0.0, 11.831814 58.059188 0.0, 11.83294 58.059537 0.0, 11.833284 58.059602 0.0, 11.833364 58.059585 0.0, 11.833536 58.059492 0.0, 11.833643 58.059463 0.0, 11.834362 58.05952 0.0)",470 m,
"LINESTRING (11.838289 58.059198 0.0, 11.838112 58.059349 0.0, 11.837221 58.059704 0.0, 11.837066 58.059709 0.0, 11.836451 58.059499 0.0, 11.836084 58.059372 0.0, 11.835971 58.059391 0.0, 11.835666 58.059596 0.0, 11.835548 58.059621 0.0, 11.835397 58.059627 0.0, 11.834362 58.05952 0.0)",280 m,
"LINESTRING (11.829271 58.062224 0.0, 11.829813 58.062227 0.0, 11.830296 58.062315 0.0, 11.831048 58.062598 0.0, 11.831458 58.062728 0.0, 11.831681 58.062758 0.0, 11.831893 58.062829 0.0, 11.832236 58.062904 0.0)",200 m,
"LINESTRING (11.832236 58.062904 0.0, 11.832144 58.063074 0.0, 11.832088 58.063287 0.0, 11.831975 58.063459 0.0, 11.831551 58.063896 0.0, 11.831489 58.063951 0.0, 11.831396 58.063947 0.0, 11.831267 58.063879 0.0, 11.831229 58.063829 0.0)",150 m,
"LINESTRING (11.822531 58.056453 0.0, 11.822967 58.056448 0.0, 11.823069 58.056508 0.0, 11.82308 58.056865 0.0, 11.823177 58.056936 0.0, 11.823409 58.056944 0.0, 11.823221 58.056077 0.0, 11.823028 58.055493 0.0, 11.822652 58.054752 0.0, 11.822411 58.054425 0.0, 11.822196 58.054227 0.0, 11.821648 58.053783 0.0, 11.821015 58.053221 0.0, 11.820983 58.053073 0.0, 11.821144 58.052914 0.0)",580 m,
"LINESTRING (11.823086 58.058651 0.0, 11.82452 58.058444 0.0)",90 m,
"LINESTRING (11.831359 58.056002 0.0, 11.831639 58.056012 0.0, 11.832573 58.05582 0.0, 11.832838 58.055904 0.0, 11.833442 58.055875 0.0, 11.833885 58.055551 0.0, 11.834099 58.055347 0.0, 11.834153 58.055267 0.0, 11.834227 58.055201 0.0, 11.834265 58.055103 0.0, 11.834297 58.054995 0.0, 11.834359 58.054874 0.0, 11.834531 58.054569 0.0, 11.83469 58.054294 0.0, 11.834696 58.054265 0.0, 11.834738 58.054242 0.0)",330 m,
"LINESTRING (11.821144 58.052914 0.0, 11.82147 58.052706 0.0, 11.821857 58.052527 0.0, 11.822109 58.052275 0.0, 11.822334 58.051849 0.0, 11.822758 58.0514 0.0, 11.822854 58.051219 0.0, 11.823013 58.051012 0.0, 11.823168 58.050808 0.0, 11.823227 58.050774 0.0, 11.823597 58.050729 0.0, 11.825013 58.050341 0.0, 11.825979 58.050106 0.0, 11.826167 58.050026 0.0, 11.826478 58.04986 0.0, 11.826556 58.049809 0.0, 11.826572 58.049742 0.0, 11.82621 58.04983 0.0)",540 m,
